gene_id	chr_id	transcript_length	gene_group	description	GO-labels
Ec-00_001040	chr_00	1807		Ankyrin repeat-containing domain	   
Ec-00_001050	chr_00	688		Ankyrin repeat-containing domain	   
Ec-00_001060	chr_00	291		hypothetical protein	   
Ec-00_001070	chr_00	3915		expressed unknown protein	   
Ec-00_001080	chr_00	3837		GPI inositol-deacylase PGAP1-like	GO:0006505,GO:0006886,GO:0016788
Ec-00_001090	chr_00	1548		Dimeric alpha-beta barrel	   
Ec-00_001100	chr_00	1721		expressed unknown protein	   
Ec-00_001110	chr_00	993		Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II	   
Ec-00_001120	chr_00	768		Intraflagellar transport protein 43	GO:0030991
Ec-00_001130	chr_00	1275		Mak16 protein	   
Ec-00_001140	chr_00	11671		WD40/YVTN repeat-like-containing domain	GO:0005515
Ec-00_001150	chr_00	6508		Protein phosphatase 2C (PP2C)-like domain	GO:0003824
Ec-00_001160	chr_00	2485		Forkhead-associated (FHA) domain	GO:0005515
Ec-00_001170	chr_00	671		expressed unknown protein	   
Ec-00_001180	chr_00	3951		Leucine rich repeat protein	GO:0003779,GO:0007010
Ec-00_001190	chr_00	2230		expressed unknown protein	GO:0004871,GO:0007165 
Ec-00_001200	chr_00	5352	SBG-male	Hypothetical leucine rich repeat protein	GO:0005515
Ec-00_001210	chr_00	177		Hypothetical protein	   
Ec-00_001220	chr_00	2544		Pleckstrin homology-like domain	   
Ec-00_001230	chr_00	2947		Aminotransferase class I/classII	GO:0009058,GO:0030170
Ec-00_001240	chr_00	1156		Ribosomal protein L41	GO:0003735,GO:0005840,GO:0006412
Ec-00_001250	chr_00	306		pre-mRNA splicing factor putative	   
Ec-00_001260	chr_00	159		hypothetical protein	   
Ec-00_001270	chr_00	153		hypothetical protein	   
Ec-00_001280	chr_00	2818		P-loop containing nucleoside triphosphate hydrolase	   
Ec-00_001290	chr_00	3510		expressed unknown protein	   
Ec-00_001300	chr_00	5942		Dolichol kinase	GO:0004168,GO:0030176,GO:0043048
Ec-00_001310	chr_00	2429		SET domain	GO:0005515
Ec-00_001320	chr_00	2400		Monooxygenase FAD-binding	GO:0008152,GO:0016491
Ec-00_001330	chr_00	1197		Hypothetical protein	   
Ec-00_001340	chr_00	2651	GBG-gametophyte	Ankyrin repeat	GO:0005515
Ec-00_001350	chr_00	1479		conserved unknown protein	   
Ec-00_001360	chr_00	3223		PAS domain	GO:0004871,GO:0007165
Ec-00_001370	chr_00	3933		Mannosyl-oligosaccharide glucosidase family GH63	GO:0003824
Ec-00_001380	chr_00	1884		G-patch domain	GO:0003676
Ec-00_001390	chr_00	309		conserved unknown protein	   
Ec-00_001400	chr_00	2603		Tyrosyl-DNA phosphodiesterase I	GO:0005634,GO:0006281,GO:0008081
Ec-00_001410	chr_00	13036		EF-hand domain pair	GO:0004221,GO:0006511
Ec-00_001420	chr_00	1249		D123	   
Ec-00_001430	chr_00	4448		P-loop containing nucleoside triphosphate hydrolase	   
Ec-00_001440	chr_00	1083		Ribosomal protein L7/L12 C-terminal/adaptor protein ClpS-like	   
Ec-00_001450	chr_00	2011		Thioredoxin-like fold	   
Ec-00_001460	chr_00	2429		Ubiquitin-conjugating enzyme E2	GO:0019787,GO:0043687,GO:0051246
Ec-00_001480	chr_00	1254		hypothetical protein	   
Ec-00_001490	chr_00	1567		DNA glycosylase	GO:0003824,GO:0006281
Ec-00_001500	chr_00	2617		Integral membrane protein TerC riboswitch-linked	GO:0016021
Ec-00_001510	chr_00	1942		expressed unknown protein	   
Ec-00_001520	chr_00	1134		hypothetical protein	   
Ec-00_001530	chr_00	3077		HIT-like domain	GO:0003824
Ec-00_001540	chr_00	3054	GBG-gametophyte	hypothetical protein	   
Ec-00_001550	chr_00	3408		FYVE zinc finger	GO:0046872
Ec-00_001560	chr_00	1293		Hypothetical protein	   
Ec-00_001570	chr_00	2534		hypothetical protein	   
Ec-00_001580	chr_00	4145		WD40 repeat	GO:0005515
Ec-00_001590	chr_00	2433		hypothetical protein	   
Ec-00_001600	chr_00	3190		hypothetical protein	   
Ec-00_001610	chr_00	1839		F-box domain	GO:0005515
Ec-00_001620	chr_00	1947		Bestrophin/UPF0187	   
Ec-00_001630	chr_00	2912		Potassium channel inwardly rectifying Kir	GO:0005242,GO:0006813,GO:0016021
Ec-00_001640	chr_00	2543		putative decarboxylase family protein lysine decarboxylase?   	NA
Ec-00_001650	chr_00	918	GBG-sporophyte	hypothetical protein	   
Ec-00_001660	chr_00	1064		Hypothetical protein	   
Ec-00_001670	chr_00	1239		hypothetical protein	   
Ec-00_001680	chr_00	1143		Hypothetical protein	   
Ec-00_001690	chr_00	960		conserved unknown protein	   
Ec-00_001700	chr_00	4437	GBG-sporophyte	RWP-RK domain	   
Ec-00_001710	chr_00	2305		expressed unknown protein	   
Ec-00_001720	chr_00	2533		Winged helix-turn-helix DNA-binding domain	   
Ec-00_001730	chr_00	5770		WD40 repeat	GO:0005515
Ec-00_001740	chr_00	1726		2Fe-2S ferredoxin-type domain	GO:0009055,GO:0051536
Ec-00_001750	chr_00	1786		porphobilinogen synthase putative chloroplast precursor	GO:0004655,GO:0033014,GO:0046872
Ec-00_001760	chr_00	2664		WD40/YVTN repeat-like-containing domain	GO:0005515
Ec-00_001770	chr_00	456		hypothetical protein	   
Ec-00_001780	chr_00	276		Hypothetical protein	   
Ec-00_001790	chr_00	1367		expressed unknown protein	   
Ec-00_001800	chr_00	3529		PR1-like metalloprotease	NA
Ec-00_001810	chr_00	4101		PR1-like metalloprotease	NA
Ec-00_001820	chr_00	174		Hypothetical protein	   
Ec-00_001830	chr_00	311		Hypothetical protein	   
Ec-00_001850	chr_00	1878		CAP domain	NA
Ec-00_001860	chr_00	3630	SBG-female,GBG-sporophyte	PR1-like metalloprotease	NA
Ec-00_001870	chr_00	2448		EsV-1-166	GO:0005622,GO:0008270 
Ec-00_001890	chr_00	1893		EsV-1-166	GO:0003676,GO:0005622,GO:0008270
Ec-00_001900	chr_00	2847	GBG-sporophyte	EsV-1-166	GO:0005622,GO:0008270 
Ec-00_001910	chr_00	906		Domain of unknown function DUF2431	   
Ec-00_001920	chr_00	1788		EsV-1-166	GO:0003676,GO:0005622,GO:0008270
Ec-00_001930	chr_00	2618		Domain of unknown function DUF2431	   
Ec-00_001940	chr_00	3102		NADH:ubiquinone oxidoreductase complex I	NA
Ec-00_001950	chr_00	6923		Pentatricopeptide repeat	   
Ec-00_001960	chr_00	3018		Armadillo-like helical	GO:0005488
Ec-00_001970	chr_00	647		Hypothetical protein	   
Ec-00_001980	chr_00	1010		Hypothetical protein	   
Ec-00_001990	chr_00	522		hypothetical protein	   
Ec-00_002000	chr_00	4408		Leucine rich repeat protein	GO:0005515
Ec-00_002010	chr_00	2475		3-dehydroquinate synthase AroB	GO:0003856,GO:0005737,GO:0009073
Ec-00_002020	chr_00	3022		Ankyrin repeat	GO:0005515
Ec-00_002030	chr_00	2479		Helicase C-terminal	   
Ec-00_002040	chr_00	2471		Thioredoxin-like fold	   
Ec-00_002050	chr_00	2290		Serine/threonine/dual specificity protein kinase catalytic  domain	GO:0004672,GO:0005524,GO:0006468
Ec-00_002060	chr_00	10512		expressed unknown protein	   
Ec-00_002070	chr_00	5708		MIF4-like type 1/2/3	GO:0005515,GO:0016070
Ec-00_002080	chr_00	7595		hypothetical protein	   
Ec-00_002090	chr_00	2675		Exo-1,3-beta-glucanase family GH5	GO:0003824,GO:0005975,GO:0043169
Ec-00_002100	chr_00	926		WD40 repeat	GO:0005515
Ec-00_002110	chr_00	396		hypothetical protein	   
Ec-00_002120	chr_00	609		Hypothetical protein	   
Ec-00_002130	chr_00	941		telomerase reverse transcriptase	   
Ec-00_002140	chr_00	1567		Ribonuclease H-like domain	GO:0003676
Ec-00_002160	chr_00	462		DNA-directed RNA polymerase subunit 2	GO:0003899,GO:0006351,GO:0032549
Ec-00_002170	chr_00	216		conserved unknown protein	   
Ec-00_002190	chr_00	498		hypothetical protein	   
Ec-00_002200	chr_00	1144		S-adenosyl-L-methionine-dependent methyltransferase	GO:0003677,GO:0006306,GO:0008170,GO:0015667,GO:0032776
Ec-00_002210	chr_00	555		Mannosyl-oligosaccharide 1,2-alpha-mannosidase central fragment family GH47	GO:0004571,GO:0005509,GO:0016020
Ec-00_002230	chr_00	1203		Hypothetical protein	   
Ec-00_002240	chr_00	228		hypothetical protein	   
Ec-00_002250	chr_00	432		EF-hand domain pair	GO:0005509
Ec-00_002260	chr_00	493		Thioredoxin-like fold	   
Ec-00_002270	chr_00	372		Ankyrin repeat-containing domain	   
Ec-00_002280	chr_00	1305	GBG-gametophyte	hypothetical protein	   
Ec-00_002290	chr_00	832	SBG-female	expressed unknown protein	   
Ec-00_002310	chr_00	264		conserved unknown protein	   
Ec-00_002320	chr_00	933		Flavin monooxygenase-like	GO:0004499,GO:0050660,GO:0050661,GO:0055114
Ec-00_002330	chr_00	201		hypothetical protein	   
Ec-00_002340	chr_00	621		conserved unknown protein	   
Ec-00_002350	chr_00	360		Hypothetical protein	   
Ec-00_002360	chr_00	327		hypothetical protein	   
Ec-00_002370	chr_00	1079		hypothetical protein	   
Ec-00_002380	chr_00	621		conserved unknown protein	   
Ec-00_002390	chr_00	945	SBG-female	telomerase reverse transcriptase putative	   
Ec-00_002400	chr_00	171		hypothetical protein	   
Ec-00_002410	chr_00	327		hypothetical protein	   
Ec-00_002420	chr_00	1370		expressed unknown protein	GO:0004672,GO:0005524,GO:0006468 
Ec-00_002430	chr_00	399		conserved unknown protein	   
Ec-00_002440	chr_00	348		hypothetical protein	   
Ec-00_002450	chr_00	1288		expressed unknown protein	   
Ec-00_002470	chr_00	605		Glycine cleavage T-protein-like N-terminal	GO:0004047,GO:0005737,GO:0006546 
Ec-00_002480	chr_00	687		Notch domain	GO:0016020,GO:0030154
Ec-00_002490	chr_00	1029		expressed unknown protein	   
Ec-00_002500	chr_00	482		expressed unknown protein	   
Ec-00_002510	chr_00	522		hypothetical protein	   
Ec-00_002520	chr_00	401		Hypothetical protein	   
Ec-00_002530	chr_00	387		RNA polymerase Rpb2 domain 2	GO:0003677,GO:0003899,GO:0006351
Ec-00_002540	chr_00	609	SBG-female	WSC domain containing protein	NA
Ec-00_002550	chr_00	1481		conserved unknown protein	   
Ec-00_002560	chr_00	168		hypothetical protein	   
Ec-00_002570	chr_00	312		2Fe-2S ferredoxin-type domain	GO:0009055,GO:0051536
Ec-00_002580	chr_00	174		Hypothetical protein	   
Ec-00_002590	chr_00	342		hypothetical protein	   
Ec-00_002600	chr_00	474		Ion transport domain	GO:0005216,GO:0006811,GO:0016020,GO:0055085
Ec-00_002610	chr_00	2177		Hypothetical protein	   
Ec-00_002620	chr_00	2045	GBG-gametophyte	expressed unknown protein	   
Ec-00_002630	chr_00	324		conserved unknown protein	   
Ec-00_002640	chr_00	1093		Bicarbonate transporter eukaryotic	GO:0005452,GO:0006820,GO:0016020
Ec-00_002650	chr_00	528		Harbinger transposase-derived nuclease domain	   
Ec-00_002660	chr_00	542		Hypothetical protein	   
Ec-00_002670	chr_00	249		tRNA(Ile)-lysidine/2-thiocytidine synthase	   
Ec-00_002680	chr_00	1052		expressed unknown protein	   
Ec-00_002690	chr_00	372		Adenylyl cyclase class-3/4/guanylyl cyclase	GO:0009190,GO:0016849,GO:0035556
Ec-00_002700	chr_00	441		conserved unknown protein	   
Ec-00_002710	chr_00	1924		hypothetical protein	   
Ec-00_002720	chr_00	405		Kinesin light chain	GO:0003777,GO:0005871
Ec-00_002730	chr_00	573		hypothetical protein	   
Ec-00_002740	chr_00	931		expressed unknown protein	   
Ec-00_002750	chr_00	485		expressed unknown protein	   
Ec-00_002760	chr_00	405		copper/zinc superoxide dismutase	GO:0006801,GO:0046872,GO:0055114
Ec-00_002770	chr_00	207		P-type ATPase (PMID 12707717)	GO:0005524,GO:0006754,GO:0006810,GO:0015662,GO:0016020
Ec-00_002780	chr_00	744		hypothetical protein	   
Ec-00_002790	chr_00	585		hypothetical protein	   
Ec-00_002800	chr_00	198		hypothetical protein	   
Ec-00_002810	chr_00	1565		hypothetical protein	   
Ec-00_002820	chr_00	944		Cys/Met metabolism pyridoxal phosphate-dependent enzyme	GO:0030170
Ec-00_002830	chr_00	348		Armadillo-like helical	GO:0005488
Ec-00_002840	chr_00	759		conserved unknown protein	   
Ec-00_002850	chr_00	739	GBG-gametophyte	Hypothetical protein	   
Ec-00_002870	chr_00	662		expressed unknown protein	   
Ec-00_002880	chr_00	1406		Hypothetical protein	   
Ec-00_002890	chr_00	150		hypothetical protein	   
Ec-00_002900	chr_00	1338		expressed unknown protein	   
Ec-00_002910	chr_00	483		hypothetical protein	   
Ec-00_002920	chr_00	654		EsV-1-199	   
Ec-00_002930	chr_00	171		hypothetical protein	   
Ec-00_002940	chr_00	192		AMP-dependent synthetase/ligase	GO:0003824,GO:0008152
Ec-00_002950	chr_00	501		General substrate transporter	GO:0016021,GO:0022857,GO:0055085
Ec-00_002960	chr_00	1673		Hypothetical protein	   
Ec-00_002970	chr_00	351		expressed unknown protein	   
Ec-00_002980	chr_00	1841		expressed unknown protein	   
Ec-00_003000	chr_00	440		expressed unknown protein	   
Ec-00_003010	chr_00	249		hypothetical protein	GO:0008152,GO:0016491 
Ec-00_003020	chr_00	1577		Dynein heavy chain	GO:0003777,GO:0007018
Ec-00_003030	chr_00	306		hypothetical protein	   
Ec-00_003040	chr_00	330		hypothetical protein	   
Ec-00_003050	chr_00	637		expressed unknown protein	   
Ec-00_003060	chr_00	474		Ion transport domain	GO:0005216,GO:0006811,GO:0016020,GO:0055085
Ec-00_003070	chr_00	1022		expressed unknown protein	   
Ec-00_003080	chr_00	420		hypothetical protein	   
Ec-00_003090	chr_00	416		Hypothetical protein	   
Ec-00_003100	chr_00	1841		Hypothetical protein	   
Ec-00_003120	chr_00	204		hypothetical protein	   
Ec-00_003130	chr_00	1122		hypothetical protein	   
Ec-00_003140	chr_00	480		hypothetical protein	   
Ec-00_003150	chr_00	147		hypothetical protein	   
Ec-00_003160	chr_00	297		DNA-directed RNA polymerase subunit 2	GO:0003899,GO:0006351,GO:0032549
Ec-00_003170	chr_00	387		hypothetical protein	   
Ec-00_003180	chr_00	411		Metallo-dependent phosphatase-like	   
Ec-00_003190	chr_00	204		Peptidase C48 SUMO/Sentrin/Ubl1	GO:0006508,GO:0008234
Ec-00_003200	chr_00	1646		expressed unknown protein	   
Ec-00_003210	chr_00	408		DNA polymerase epsilon catalytic subunit	GO:0003677,GO:0003887,GO:0006260,GO:0006281,GO:0008622
Ec-00_003220	chr_00	318		hypothetical protein	   
Ec-00_003230	chr_00	812		Hypothetical protein	   
Ec-00_003240	chr_00	637		expressed unknown protein	   
Ec-00_003250	chr_00	513		Hypothetical protein	   
Ec-00_003260	chr_00	3238		expressed unknown protein	   
Ec-00_003270	chr_00	2512		Cytochrome b5-like heme/steroid binding domain	GO:0020037
Ec-00_003280	chr_00	2321		EF-hand domain pair	   
Ec-00_003290	chr_00	3322		Sphingomyelin synthase-like domain	   
Ec-00_003300	chr_00	5011		hypothetical protein	   
Ec-00_003310	chr_00	864		Hypothetical protein	   
Ec-00_003320	chr_00	4188	SBG-male	conserved unknown protein	   
Ec-00_003330	chr_00	2124		Alcohol dehydrogenase iron-type	GO:0016491,GO:0046872,GO:0055114
Ec-00_003340	chr_00	1694		Transthyretin/hydroxyisourate hydrolase superfamily	GO:0005496,GO:0006810
Ec-00_003350	chr_00	1156		Single hybrid motif	NA
Ec-00_003360	chr_00	2569		TFIIH subunit Ssl1/p44	GO:0000439,GO:0006289,GO:0006351
Ec-00_003370	chr_00	1252		Peptide methionine sulphoxide reductase MsrA	GO:0008113,GO:0055114
Ec-00_003380	chr_00	7367		von Willebrand factor type A	   
Ec-00_003390	chr_00	1062		Zinc finger RING-type	GO:0005515,GO:0008270
Ec-00_003400	chr_00	3599		Zinc finger RING/FYVE/PHD-type	   
Ec-00_003410	chr_00	1866		Beta-grasp domain	   
Ec-00_003420	chr_00	696		expressed unknown protein	   
Ec-00_003430	chr_00	2197		conserved unknown protein	   
Ec-00_003440	chr_00	2791		Leucine rich repeat receptor kinase	GO:0004713,GO:0006468
Ec-00_003450	chr_00	492		Hypothetical protein	   
Ec-00_003460	chr_00	1743		putative methyltransferase	   
Ec-00_003470	chr_00	4292		Potassium channel	GO:0006813
Ec-00_003480	chr_00	2703		expressed unknown protein	GO:0003824,GO:0009058,GO:0030170
Ec-00_003490	chr_00	2035		P-loop containing nucleoside triphosphate hydrolase	GO:0003774
Ec-00_003500	chr_00	3770		expressed unknown protein	GO:0000166,GO:0004812,GO:0005524,GO:0005737,GO:0006412,GO:0006418
Ec-00_003510	chr_00	291		Hypothetical protein	   
Ec-00_003520	chr_00	1572		ER lumen protein retaining receptor	GO:0006621,GO:0016021,GO:0046923
Ec-00_003530	chr_00	1888		Biotin/lipoate A/B protein ligase	GO:0006464
Ec-00_003540	chr_00	2397		hypothetical protein	GO:0005488
Ec-00_003550	chr_00	1332		hypothetical protein	   
Ec-00_003560	chr_00	2761		PCI domain protein	   
Ec-00_003570	chr_00	260		Hypothetical protein	   
Ec-00_003580	chr_00	603		hypothetical protein	   
Ec-00_003590	chr_00	105		hypothetical protein	   
Ec-00_003600	chr_00	507		DNA helicase Pif1 like	GO:0000723,GO:0003678,GO:0006281
Ec-00_003620	chr_00	1467		expressed unknown protein	   
Ec-00_003640	chr_00	811		hypothetical protein	   
Ec-00_003650	chr_00	2626		expressed unknown protein	   
Ec-00_003660	chr_00	920		expressed unknown protein	   
Ec-00_003670	chr_00	843		hypothetical protein	   
Ec-00_003680	chr_00	622		Hypothetical protein	   
Ec-00_003690	chr_00	6991	GBG-gametophyte	expressed unknown protein	GO:0004181,GO:0004182,GO:0006508,GO:0008270
Ec-00_003700	chr_00	262	GBG-gametophyte	hypothetical protein	   
Ec-00_003710	chr_00	752		expressed unknown protein	   
Ec-00_003720	chr_00	5708	GBG-gametophyte	DNA helicase Pif1 like	GO:0000723,GO:0003678,GO:0006281
Ec-00_003730	chr_00	957	GBG-gametophyte	expressed unknown protein	   
Ec-00_003740	chr_00	876	GBG-gametophyte	Harbinger transposase-derived protein plant	GO:0016788
Ec-00_003750	chr_00	375		hypothetical protein	   
Ec-00_003760	chr_00	663		hypothetical protein	   
Ec-00_003770	chr_00	2613		hypothetical protein	   
Ec-00_003780	chr_00	657		hypothetical protein	   
Ec-00_003790	chr_00	345		hypothetical protein	   
Ec-00_003800	chr_00	726		conserved unknown protein	   
Ec-00_003810	chr_00	2370		hypothetical protein	   
Ec-00_003820	chr_00	3451		MULE transposase domain	GO:0008270
Ec-00_003830	chr_00	701		Hypothetical protein	   
Ec-00_003840	chr_00	1147		hypothetical protein	   
Ec-00_003850	chr_00	1092		hypothetical protein	   
Ec-00_003860	chr_00	4062		hypothetical protein	   
Ec-00_003870	chr_00	280		expressed unknown protein	   
Ec-00_003880	chr_00	453		hypothetical protein	   
Ec-00_003890	chr_00	510		hypothetical protein	   
Ec-00_003900	chr_00	234		Hypothetical protein	   
Ec-00_003910	chr_00	936		Harbinger transposase-derived nuclease domain	GO:0005215,GO:0005488,GO:0006810
Ec-00_003920	chr_00	1416		expressed unknown protein	   
Ec-00_003930	chr_00	1063		hypothetical protein	   
Ec-00_003940	chr_00	354		hypothetical protein	   
Ec-00_003950	chr_00	1179		hypothetical protein	   
Ec-00_003960	chr_00	3078		Hypothetical protein	   
Ec-00_003970	chr_00	722		expressed unknown protein	   
Ec-00_003990	chr_00	411		hypothetical protein	   
Ec-00_004000	chr_00	1386		Sulfotransferase	GO:0008146,GO:0016021
Ec-00_004010	chr_00	1914		hypothetical protein	   
Ec-00_004020	chr_00	1973		expressed unknown protein	   
Ec-00_004030	chr_00	2793		hypothetical protein	GO:0005509
Ec-00_004040	chr_00	1293		expressed unknown protein	   
Ec-00_004050	chr_00	3696		hypothetical protein	   
Ec-00_004060	chr_00	802		hypothetical protein	   
Ec-00_004070	chr_00	1125		Hypothetical protein	   
Ec-00_004080	chr_00	423		hypothetical protein	   
Ec-00_004090	chr_00	1577		hypothetical protein	   
Ec-00_004100	chr_00	813		expressed unknown protein	   
Ec-00_004110	chr_00	780		DDE superfamily endonuclease CENP-B-like	GO:0003676
Ec-00_004120	chr_00	606	GBG-sporophyte	Hypothetical protein	   
Ec-00_004130	chr_00	1126	GBG-sporophyte	expressed unknown protein	   
Ec-00_004140	chr_00	1201		Hypothetical protein	   
Ec-00_004150	chr_00	611		Hypothetical protein	   
Ec-00_004160	chr_00	723	GBG-sporophyte	Nucleotide-diphospho-sugar transferase	   
Ec-00_004180	chr_00	381		expressed unknown protein	   
Ec-00_004190	chr_00	1517		hypothetical protein	   
Ec-00_004200	chr_00	861		hypothetical protein	   
Ec-00_004210	chr_00	627	GBG-sporophyte	hypothetical protein	   
Ec-00_004220	chr_00	3552		conserved unknown protein	   
Ec-00_004230	chr_00	977		Hypothetical protein	   
Ec-00_004240	chr_00	273		RGS domain	GO:0038032
Ec-00_004250	chr_00	3091		Hypothetical protein	   
Ec-00_004260	chr_00	273		RGS domain	GO:0038032
Ec-00_004270	chr_00	648		Hypothetical protein	   
Ec-00_004280	chr_00	1952		expressed unknown protein	   
Ec-00_004290	chr_00	1648		Lactate/malate dehydrogenase C-terminal	GO:0016616,GO:0055114
Ec-00_004300	chr_00	2310		lipase	NA
Ec-00_004310	chr_00	1568		Trimeric LpxA-like	GO:0005737,GO:0006535,GO:0009001
